Identifiant,Date,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Part prise en charge (%),Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire,Lien vers données parlementaires
2011/1,2011,ABBANS-DESSOUS,DOUBS,l'aménagement de l'accès à la station d'épuration et la pose d'une clôture,19743.50,9000.00,45.58,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/2,2011,ABBECOURT,OISE,"la mise en sécurité du parking réservé au car scolaire, place de la Mairie",19787.00,9500.00,48.01,MARINI Philippe,Sénat,OISE,UMP,http://nossenateurs.fr/MARINI%20Philippe/xml
2011/3,2011,ABBEVILLE-SAINT-LUCIEN,OISE,l'acquisition de tables et de bancs,2972.00,1400.00,47.11,LARCHER Gérard,Sénat,YVELINES,UMP,http://nossenateurs.fr/LARCHER%20Gérard/xml
2011/4,2011,ABELCOURT,HAUTE-SAONE,l'édification d'un columbarium,5525.48,2500.00,45.24,RAISON Michel,Assemblée nationale,HAUTE-SAONE,UMP,http://2007.nosdeputes.fr/RAISON%20Michel/xml
2011/5,2011,ABLAINZEVELLE,PAS-DE-CALAIS,"la construction d'un bassin de rétention et d'infiltration, rue de Miraumont",56612.40,7000.00,12.36,VANLERENBERGHE Jean-Marie,Sénat,PAS-DE-CALAIS,UDI,http://nossenateurs.fr/VANLERENBERGHE%20Jean-Marie/xml
2011/6,2011,ABONCOURT,MOSELLE,"l'aménagement d'une aire de jeux, rue de Neudelange",90187.00,2000.00,2.22,ADNOT Philippe,Sénat,AUBE,NI,http://nossenateurs.fr/ADNOT%20Philippe/xml
2011/7,2011,ABONDANT,EURE-ET-LOIR,la réfection de la voirie rue de Dreux (tranche ferme) et rue de la Bourgeoiserie (tranche conditionnelle),248374.56,20000.00,8.05,HAMEL Gérard,Assemblée nationale,EURE-ET-LOIR,UMP,http://2007.nosdeputes.fr/HAMEL%20Gérard/xml
2011/8,2011,ABONDANT,EURE-ET-LOIR,"l'aménagement de la voirie, rue de la Demoiselle(tranche conditionnelle)",9604.29,4800.00,49.98,Gouvernement,Réserve ministérielle,#N/A,,
2011/9,2011,ABONDANT,EURE-ET-LOIR,"l'aménagement de la voirie, rue de l'Echalier (tranche conditionnelle)",56592.33,20000.00,35.34,Gouvernement,Réserve ministérielle,#N/A,,
2011/10,2011,ABRIES,HAUTES-ALPES,la réfection des murs du soutènement de la voie communale,14450.00,6928.00,47.94,GIRAUD Joël,Assemblée nationale,HAUTES-ALPES,SRC,http://2007.nosdeputes.fr/GIRAUD%20Joël/xml
2011/11,2011,ABZAC,GIRONDE,la construction d'une halle commerciale,975481.46,15000.00,1.54,Gouvernement,Réserve ministérielle,#N/A,,
2011/12,2011,ACCONS,ARDECHE,l'acquisition d'un terrain et l'aménagement des accès à la place publique et à l'aire de jeux,64017.22,20000.00,31.24,Gouvernement,Réserve ministérielle,#N/A,,
2011/13,2011,ACHAIN,MOSELLE,l'acquisition de matériel informatique et de logiciels de gestion pour le secrétariat de mairie,5207.18,1000.00,19.20,LEROY Philippe,Sénat,MOSELLE,UMP,http://nossenateurs.fr/LEROY%20Philippe/xml
2011/14,2011,ACHERES,YVELINES,l'acquisition de tableaux numériques interactifs pour les écoles,15975.00,4792.00,30.00,TASCA Catherine,Sénat,YVELINES,SOC,http://nossenateurs.fr/TASCA%20Catherine/xml
2011/15,2011,ACHEU-EN-VIMEU,SOMME,la restauration de la sacristie de l'église,13446.00,4000.00,29.75,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/16,2011,ACHY,OISE,l'acquisition d'une lame de déneigement,4500.00,2250.00,50.00,DASSAULT Olivier,Assemblée nationale,OISE,UMP,http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
2011/17,2011,ACHY,OISE,l'acquisition d'une imprimante copieur multifonctions,5300.00,800.00,15.09,DASSAULT Olivier,Assemblée nationale,OISE,UMP,http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
2011/18,2011,ACHY,OISE,"l'acquisition d'une tente de type ""barnum RIVA""",3649.00,800.00,21.92,DASSAULT Olivier,Assemblée nationale,OISE,UMP,http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
2011/19,2011,ACHY,OISE,l'acquisition et l'installation d'alarmes dans les bâtiments communaux,2607.00,700.00,26.85,DASSAULT Olivier,Assemblée nationale,OISE,UMP,http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
2011/20,2011,ACHY,OISE,l'acquisition d'une tondeuse,1279.00,600.00,46.91,ADSSAULT Olivier,Assemblée nationale,MORBIHAN,SRC,http://2007.nosdeputes.fr/ADSSAULT%20Olivier/xml
2011/21,2011,ACLOU,EURE,l'aménagement d'un site cinéraire,4130.00,2000.00,48.43,NICOLAS Jean-Pierre,Assemblée nationale,EURE,UMP,http://2007.nosdeputes.fr/NICOLAS%20Jean-Pierre/xml
2011/22,2011,ACLOU,EURE,l'installation de bornes à incendie,7520.00,2500.00,33.24,NICOLAS Jean-Pierre,Assemblée nationale,EURE,UMP,http://2007.nosdeputes.fr/NICOLAS%20Jean-Pierre/xml
2011/23,2011,ACLOU,EURE,"travaux d'éclairage public, impasse Mare Bonne",1324.27,600.00,45.31,PONIATOWSKI Ladislas,Sénat,EURE,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
2011/24,2011,ACON,EURE,l'électrification des cloches de l'église,3257.00,1500.00,46.05,PONIATOWSKI Ladislas,Sénat,EURE,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
2011/25,2011,ACQUIGNY,EURE,la construction d'une école élémentaire et l'aménagement d'un centre de loisirs,1785300.00,30000.00,1.68,Gouvernement,Réserve ministérielle,#N/A,,
2011/26,2011,ACY-EN-MULTIEN,OISE,"l'acquisition d'un tracteur, d'une débroussailleuse et d'un aspirateur de feuilles",16519.00,8000.00,48.43,MARINI Philippe,Sénat,OISE,UMP,http://nossenateurs.fr/MARINI%20Philippe/xml
2011/27,2011,ADAINCOURT,MOSELLE,travaux de voirie et l'enfouissement des réseaux (1ère tranche),160688.05,10000.00,6.22,Gouvernement,Réserve ministérielle,#N/A,,
2011/28,2011,ADAINVILLE,YVELINES,la consolidation de l'enceinte du cimetière,33739.48,16000.00,47.42,PRIMAS Sophie,Assemblée nationale,YVELINES,UMP,http://2007.nosdeputes.fr/PRIMAS%20Sophie/xml
2011/29,2011,ADAM-LES-PASSAVANT,DOUBS,la réfection de la mairie,4000.57,1500.00,37.49,BONNOT Marcel,Assemblée nationale,DOUBS,UMP,http://2007.nosdeputes.fr/BONNOT%20Marcel/xml
2011/30,2011,ADAM-LES-PASSAVANT,DOUBS,la mise en accessibilité de la future salle de classe et la pose d'une clôture aux abords,12252.56,1100.00,8.98,HUMBERT Jean-François,Sénat,DOUBS,UMP,http://nossenateurs.fr/HUMBERT%20Jean-François/xml
2011/31,2011,AGDE,HERAULT,l'opération de requalification du Centre Port du Cap d'Agde (1ère phase),2337000.00,80000.00,3.42,D'ETTORE Gilles,Assemblée nationale,HERAULT,UMP,http://2007.nosdeputes.fr/D'ETTORE%20Gilles/xml
2011/32,2011,AGDE,HERAULT,la réfection du sol du gymnase Molinié,142140.00,30000.00,21.11,D'ETTORE Gilles,Assemblée nationale,HERAULT,UMP,http://2007.nosdeputes.fr/D'ETTORE%20Gilles/xml
2011/33,2011,AGDE,HERAULT,"l'acquisition et l'aménagement d'un poste de secours, Plage des Battuts",41805.00,10000.00,23.92,D'ETTORE Gilles,Assemblée nationale,HERAULT,UMP,http://2007.nosdeputes.fr/D'ETTORE%20Gilles/xml
2011/34,2011,AGEL,HERAULT,la réhabilitation de la station d'épuration et l'acquisition d'un terrain en vue de la construction d'une nouvelle station d'épuration,18577.00,7960.00,42.85,TROPEANO Robert,Sénat,HERAULT,RDSE,http://nossenateurs.fr/TROPEANO%20Robert/xml
2011/35,2011,AGENVILLERS,SOMME,la réfection de la toiture et des huisseries du bâtiment des services techniques,17645.00,1000.00,5.67,MATHON Gilbert,Assemblée nationale,SOMME,SRC,http://2007.nosdeputes.fr/MATHON%20Gilbert/xml
2011/36,2011,AGINCOURT,MEURTHE-ET-MOSELLE,la mise en accessibilité de la mairie et de l'église et l'aménagement de sanitaires à la salle des fêtes,48756.66,10000.00,20.51,HENART Laurent,Assemblée nationale,MEURTHE-ET-MOSELLE,UMP,http://2007.nosdeputes.fr/HENART%20Laurent/xml
2011/37,2011,AGINCOURT,MEURTHE-ET-MOSELLE,la mise en sécurité de la traversée du village,16165.36,8000.00,49.49,LARCHER Gérard,Sénat,YVELINES,UMP,http://nossenateurs.fr/LARCHER%20Gérard/xml
2011/38,2011,AGNAC,LOT-ET-GARONNE,la réfection du 1er étage de la mairie et la restauration de la toiture de l'église Saint-Saturnin,58790.41,10000.00,17.01,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/39,2011,AGNETZ,OISE,la mise en accessibilité du château aux personnes handicapées et l'aménagement de réseaux d'évacuation des eaux pluviales,320761.23,100000.00,31.18,Gouvernement,Réserve ministérielle,#N/A,,
2011/40,2011,AGNICOURT-SECHELLES,AISNE,la restructuration des cimetières,12382.99,6000.00,48.45,LE TEXIER Raymonde,Sénat,VAL-D'OISE,SOCV,http://nossenateurs.fr/LE TEXIER Raymonde/xml
2011/41,2011,AGRIS,CHARENTE,la réhabilitation d'une grange en bibliothèque,268888.33,10000.00,3.72,MARC François,Sénat,FINISTERE,SOC,http://nossenateurs.fr/MARC%20François/xml
2011/42,2011,AGUESSAC,AVEYRON,"la réfection de la rue de la Calade et de la rue et du parking du lotissement ""Plan du Foirail""",25523.75,5000.00,19.59,HERVIAUX Odette,Sénat,MORBIHAN,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
2011/43,2011,AHEVILLE,VOSGES,"la réfection de la voie communale n°3 ""Chemin de Velotte""",185615.00,6000.00,3.23,GAULTIER Jean-Jacques,Assemblée nationale,VOSGES,UMP,http://2007.nosdeputes.fr/GAULTIER%20Jean-Jacques/xml
2011/44,2011,AHUILLE,MAYENNE,l'aménagement paysager et urbain du centre-bourg (programmes 2012-2013),650348.12,40000.00,6.15,ARTHUIS Jean,Sénat,MAYENNE,UDI,http://nossenateurs.fr/ARTHUIS%20Jean/xml
2011/45,2011,AHUY,COTE-D'OR,la construction d'un bâtiment de stockage et de garages communaux (2ème phase),255780.66,25000.00,9.77,DEPIERRE Bernard,Assemblée nationale,COTE-D'OR,UMP,http://2007.nosdeputes.fr/DEPIERRE%20Bernard/xml
2011/46,2011,AIBRE,DOUBS,la réfection de la fontaine située grande rue,13437.67,2000.00,14.88,BONNOT Marcel,Assemblée nationale,DOUBS,UMP,http://2007.nosdeputes.fr/BONNOT%20Marcel/xml
2011/47,2011,AIGREMONT,GARD,la réfection de la voirie et le curage de ruisseaux (programme 2011),111961.72,8000.00,7.15,DUMAS William,Assemblée nationale,GARD,SRC,http://2007.nosdeputes.fr/DUMAS%20William/xml
2011/48,2011,AIGREMONT,YONNE,"l'aménagement de la mairie, l'implantation d'un atelier communal et la création d'un parking au cimetière",41969.32,17552.00,41.82,ROLLAND Jean-Marie,Assemblée nationale,YONNE,UMP,http://2007.nosdeputes.fr/ROLLAND%20Jean-Marie/xml
2011/49,2011,AIGREMONT,YONNE,"l'aménagement de la place du Puits Bayard, du terrain de football et d'un accès handicapés à l'église",86281.96,22470.00,26.04,ROLLAND Jean-Marie,Assemblée nationale,YONNE,UMP,http://2007.nosdeputes.fr/ROLLAND%20Jean-Marie/xml
2011/50,2011,AIGREMONT,YONNE,la restauration de l'église Notre-Dame-de-la-Nativité (2ème tranche),120000.00,15000.00,12.50,Gouvernement,Réserve ministérielle,#N/A,,
2011/51,2011,AILLANT-SUR-MILLERON,LOIRET,la réhabilitation du lavoir communal,38791.64,5000.00,12.89,SUEUR Jean-Pierre,Sénat,LOIRET,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
2011/52,2011,AILLEVILLERS-ET-LYAUMONT,HAUTE-SAONE,"l'acquisition de l'ancienne usine Magisac, l'aménagement des locaux et l'installation d'une chaufferie bois avec silo (1ère tranche)",957542.00,40000.00,4.18,Gouvernement,Réserve ministérielle,#N/A,,
2011/53,2011,AILLIANVILLE,HAUTE-MARNE,la réfection et l'extension de la salle polyvalente,38481.50,5000.00,12.99,CORNUT-GENTILLE François,Assemblée nationale,HAUTE-MARNE,UMP,http://2007.nosdeputes.fr/CORNUT-GENTILLE%20François/xml
2011/54,2011,AILLIERES-BEAUVOIR,SARTHE,l'aménagement de la traversée du bourg,265000.00,30000.00,11.32,Gouvernement,Réserve ministérielle,#N/A,,
2011/55,2011,AILLIERES-BEAUVOIR,SARTHE,travaux d'amélioration énergétique,30218.38,10000.00,33.09,Gouvernement,Réserve ministérielle,#N/A,,
2011/56,2011,AIMARGUES,GARD,l'acquisition d'une sculpture représentant Fanfonne Guillierme et ses bious d'or,16000.00,7000.00,43.75,PEYRONNET Jean-Claude,Sénat,HAUTE-VIENNE,SOC,http://nossenateurs.fr/PEYRONNET%20Jean-Claude/xml
2011/57,2011,AINAY-LE-CHATEAU,ALLIER,la restauration des remparts (tranches 2010 et 2011),930000.00,60000.00,6.45,Gouvernement,Réserve ministérielle,#N/A,,
2011/58,2011,AINCOURT,VAL-D'OISE,la réfection de la route de Brunel,24400.00,7500.00,30.74,ANGELS Bernard,Sénat,VAL-D'OISE,SOCV,http://nossenateurs.fr/ANGELS%20Bernard/xml
2011/59,2011,AINGERAY,MEURTHE-ET-MOSELLE,"l'aménagement de la ""Côte du Four""",129650.00,3000.00,2.31,PANIS Jacqueline,Sénat,MEURTHE-ET-MOSELLE,UMP,http://nossenateurs.fr/PANIS%20Jacqueline/xml
2011/60,2011,AINGEVILLE,VOSGES,"la réfection des toitures du lavoir, de la mairie et du bûcher",35736.78,3000.00,8.39,PIERRE Jackie,Sénat,VOSGES,UMP,http://nossenateurs.fr/PIERRE%20Jackie/xml
2011/61,2011,AIRAINES,SOMME,la réfection d'un muret et de piliers situés à l'entrée de l'église,11126.00,5563.00,50.00,BIGNON Jérôme,Assemblée nationale,SOMME,UMP,http://2007.nosdeputes.fr/BIGNON%20Jérôme/xml
2011/62,2011,AIRAN,CALVADOS,travaux d'assainissement pluvial (RD 43),10380.00,1038.00,10.00,COUSIN Jean-Yves,Assemblée nationale,CALVADOS,UMP,http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
2011/63,2011,AIREL,MANCHE,l'isolation extérieure de l'école,12975.08,5000.00,38.54,GOSSELIN Philippe,Assemblée nationale,MANCHE,UMP,http://2007.nosdeputes.fr/GOSSELIN%20Philippe/xml
2011/64,2011,AIRE-SUR-LA-LYS,PAS-DE-CALAIS,la restauration de la balustrade du Beffroi,359783.65,10000.00,2.78,LEFAIT Michel,Assemblée nationale,PAS-DE-CALAIS,SRC,http://2007.nosdeputes.fr/LEFAIT%20Michel/xml
2011/65,2011,AISEREY,COTE-D'OR,la réfection du local des pompiers,52418.98,9809.00,18.71,REBSAMEN François,Sénat,COTE-D'OR,SOC,http://nossenateurs.fr/REBSAMEN%20François/xml
2011/66,2011,AIX-EN-DIOIS,DROME,le réaménagement de la salle polyvalente socio- culturelle,186730.00,10000.00,5.36,MARITON Hervé,Assemblée nationale,DROME,UMP,http://2007.nosdeputes.fr/MARITON%20Hervé/xml
2011/67,2011,AIX-EN-ISSART,PAS-DE-CALAIS,la construction d'un bâtiment à usage de quillier,86749.96,3000.00,3.46,FASQUELLE Daniel,Assemblée nationale,PAS-DE-CALAIS,UMP,http://2007.nosdeputes.fr/FASQUELLE%20Daniel/xml
2011/68,2011,AIX-EN-PROVENCE,BOUCHES-DU-RHONE,la construction d'une Maison des familles dans le quartier Corsy,629850.00,50000.00,7.94,JOISSAINS Sophie,Sénat,BOUCHES-DU-RHONE,UMP,http://nossenateurs.fr/JOISSAINS%20Sophie/xml
2011/69,2011,AIX-NOULETTE,PAS-DE-CALAIS,la construction d'un bâtiment destiné à l'accueil de loisirs des jeunes enfants et à la restauration scolaire,1110000.00,5000.00,0.45,KUCHEIDA Jean-Pierre,Assemblée nationale,PAS-DE-CALAIS,SRC,http://2007.nosdeputes.fr/KUCHEIDA%20Jean-Pierre/xml
2011/70,2011,AIZAC,ARDECHE,la restauration de l'église (programme 2011),10544.08,3000.00,28.45,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/71,2011,AIZELLES,AISNE,l'aménagement de la rue de la Vieille Route,30000.00,8000.00,26.67,DOSIERE René,Assemblée nationale,AISNE,SRC,http://2007.nosdeputes.fr/DOSIERE%20René/xml
2011/72,2011,AIZIER,EURE,"l'acquisition de la ""Maison Le Pallec"" en vue de la création d'un restaurant",128100.00,7000.00,5.46,BOURDIN Joël,Sénat,EURE,UMP,http://nossenateurs.fr/BOURDIN%20Joël/xml
2011/73,2011,ALAIRAC,AUDE,"la réhabilitation des trottoirs situés ""Rond Saint- Germain""",41245.00,20000.00,48.49,HERVIAUX Odette,Sénat,MORBIHAN,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
2011/74,2011,ALBARET-SAINTE-MARIE,LOZERE,l'extension de l'école primaire de La Garde (tranche complémentaire),57529.54,10000.00,17.38,Gouvernement,Réserve ministérielle,#N/A,,
2011/75,2011,ALBEPIERRE-BREDONS,CANTAL,l'aménagement d'une voie communale dans le bourg d'Albepierre,71736.00,10000.00,13.94,MARLEIX Alain,Assemblée nationale,CANTAL,UMP,http://2007.nosdeputes.fr/MARLEIX%20Alain/xml
2011/76,2011,ALBESTROFF,MOSELLE,l'aménagement de places publiques,208549.92,20000.00,9.59,Gouvernement,Réserve ministérielle,#N/A,,
2011/77,2011,ALBESTROFF,MOSELLE,la réfection de l'escalier extérieur de la mairie et l'aménagement d'une rampe d'accès destinée aux personnes à mobilité réduite,8848.65,3539.00,39.99,TODESCHINI Jean-Marc,Sénat,MOSELLE,SOC,http://nossenateurs.fr/TODESCHINI%20Jean-Marc/xml
2011/78,2011,ALBON,DROME,la construction d'un groupe scolaire et d'une cantine,1799400.00,10000.00,0.56,THORAVAL Marie-Hélène,Assemblée nationale,DROME,UMP,http://2007.nosdeputes.fr/THORAVAL%20Marie-Hélène/xml
2011/79,2011,ALES,GARD,la rénovation et l'extension de la salle polyvalente située rue Jules Cazot,705681.00,49500.00,7.01,ROUSTAN Max,Assemblée nationale,GARD,UMP,http://2007.nosdeputes.fr/ROUSTAN%20Max/xml
2011/80,2011,ALINCTHUN,PAS-DE-CALAIS,l'équipement de la cantine scolaire,50000.00,8000.00,16.00,SERGENT Michel,Sénat,PAS-DE-CALAIS,SOCV,http://nossenateurs.fr/SERGENT%20Michel/xml
2011/81,2011,ALLAIRE,MORBIHAN,la sécurisation de la RD 775 en agglomération (tranche ferme),625506.00,10000.00,1.60,BOUVARD Loïc,Assemblée nationale,MORBIHAN,UMP,http://2007.nosdeputes.fr/BOUVARD%20Loïc/xml
2011/82,2011,ALLAIRE,MORBIHAN,la restauration de la ferme de Coueslé (tranches ferme et conditionnelle),858461.00,15000.00,1.75,HERVIAUX Odette,Sénat,MORBIHAN,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
2011/83,2011,ALLARMONT,VOSGES,l'aménagement d'un parking et d'un hangar aux abords de la salle socio-culturelle,109671.01,50000.00,45.59,CHERPION Gérard,Assemblée nationale,VOSGES,UMP,http://2007.nosdeputes.fr/CHERPION%20Gérard/xml
2011/84,2011,ALLEINS,BOUCHES-DU-RHONE,le déplacement de l'oratoire Saint-Roch,8020.50,3000.00,37.40,REYNES Bernard,Assemblée nationale,BOUCHES-DU-RHONE,UMP,http://2007.nosdeputes.fr/REYNES%20Bernard/xml
2011/85,2011,ALLEMANS-DU-DROPT,LOT-ET-GARONNE,la restauration de l'église Saint-Eutrope (tranches ferme et conditionnelle 1),315697.23,40000.00,12.67,DIEFENBACHER Michel,Assemblée nationale,LOT-ET-GARONNE,UMP,http://2007.nosdeputes.fr/DIEFENBACHER%20Michel/xml
2011/86,2011,ALLEMANT,MARNE,l'électrification des cloches de l'église,3974.25,1000.00,25.16,OUDIT Mireille,Sénat,MARNE,UMP,http://nossenateurs.fr/OUDIT%20Mireille/xml
2011/87,2011,ALLENNES-LES-MARAIS,NORD,l'extension de la mairie,1129361.60,30000.00,2.66,Gouvernement,Réserve ministérielle,#N/A,,
2011/88,2011,ALLEUZE,CANTAL,travaux connexes au remembrement,389989.08,22000.00,5.64,Gouvernement,Réserve ministérielle,#N/A,,
2011/89,2011,ALLINEUC,COTES-D'ARMOR,la réhabilitation du foyer logement,376368.16,30000.00,7.97,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/90,2011,ALLONDRELLE-LA-MALMAISON,MEURTHE-ET-MOSELLE,la réfection et la mise en conformité de la mairie annexe de La-Malmaison,137471.79,10000.00,7.27,Gouvernement,Réserve ministérielle,#N/A,,
2011/91,2011,ALLONNE,OISE,"l'implantation, au stade de football, de modules à usage de vestiaires",81839.22,30000.00,36.66,MANCEL Jean-François,Assemblée nationale,OISE,UMP,http://2007.nosdeputes.fr/MANCEL%20Jean-François/xml
2011/92,2011,ALLONNES,MAINE-ET-LOIRE,la restructuration et la mise aux normes des sanitaires de l'école élémentaire du groupe scolaire Jules Ferry,223923.28,10000.00,4.47,TAUGOURDEAU Jean-Charles,Assemblée nationale,MAINE-ET-LOIRE,UMP,http://2007.nosdeputes.fr/TAUGOURDEAU%20Jean-Charles/xml
2011/93,2011,ALLONZIER-LA-CAILLE,HAUTE-SAVOIE,la construction d'un local pour les services techniques,147142.93,50000.00,33.98,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/94,2011,ALLOUVILLE-BELLEFOSSE,SEINE-MARITIME,l'aménagement du centre bourg (2ème tranche),391950.66,10000.00,2.55,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/95,2011,ALLY,CANTAL,l'équipement numérique de l'école,13622.00,6500.00,47.72,MARLEIX Alain,Assemblée nationale,CANTAL,UMP,http://2007.nosdeputes.fr/MARLEIX%20Alain/xml
2011/96,2011,ALLY,CANTAL,la réhabilitation et la mise aux normes de la salle des fêtes,350000.00,15000.00,4.29,Gouvernement,Réserve ministérielle,#N/A,,
2011/97,2011,ALMENECHES,ORNE,la restauration de l'Abbatiale Sainte-Opportune (1ère tranche),406975.00,2500.00,0.61,GOULET Nathalie,Sénat,ORNE,UDI,http://nossenateurs.fr/GOULET%20Nathalie/xml
2011/98,2011,ALPUECH,AVEYRON,la réfection du mur de soutènement de la mairie,9160.00,3500.00,38.21,CENSI Yves,Assemblée nationale,AVEYRON,UMP,http://2007.nosdeputes.fr/CENSI%20Yves/xml
2011/99,2011,ALPUECH,AVEYRON,la réfection de la voirie dans le bourg (programme 2011),10900.00,4000.00,36.70,CENSI Yves,Assemblée nationale,AVEYRON,UMP,http://2007.nosdeputes.fr/CENSI%20Yves/xml
2011/100,2011,ALPUECH,AVEYRON,la réfection de la voirie au hameau de Bouges,6657.50,2500.00,37.55,CENSI Yves,Assemblée nationale,AVEYRON,UMP,http://2007.nosdeputes.fr/CENSI%20Yves/xml
2011/101,2011,ALSTING,MOSELLE,la mise aux normes de l'école primaire et son regroupement avec l'école maternelle,1075680.94,10000.00,0.93,LANG Pierre,Assemblée nationale,MOSELLE,UMP,http://2007.nosdeputes.fr/LANG%20Pierre/xml
2011/102,2011,ALSTING,MOSELLE,l'aménagement d'une cantine scolaire dans l'ancien presbytère,220073.23,2000.00,0.91,MASSON Jean-Louis,Sénat,#N/A,,http://nossenateurs.fr/MASSON%20Jean-Louis/xml
2011/103,2011,ALSTING,MOSELLE,"la réhabilitation de la cuisine, à la salle polyvalente",55610.00,5561.00,10.00,TODESCHINI Jean-Marc,Sénat,MOSELLE,SOC,http://nossenateurs.fr/TODESCHINI%20Jean-Marc/xml
2011/104,2011,ALTIER,LOZERE,l'acquisition d'un transporteur à chenilles,4300.00,2150.00,50.00,SAINT-LEGER Francis,Assemblée nationale,LOZERE,UMP,http://2007.nosdeputes.fr/SAINT-LEGER%20Francis/xml
2011/105,2011,ALTORF,BAS-RHIN,la réhabilitation et l'extension de la mairie,884210.97,10000.00,1.13,FERRY Alain,Assemblée nationale,BAS-RHIN,UMP,http://2007.nosdeputes.fr/FERRY%20Alain/xml
2011/106,2011,ALTVILLER,MOSELLE,l'extension de la nouvelle salle d'éveil et de jeux et l'isolation des anciens bâtiments du groupe scolaire,353184.00,10000.00,2.83,Gouvernement,Réserve ministérielle,#N/A,,
2011/107,2011,ALVIMARE,SEINE-MARITIME,l'aménagement du centre-bourg,79063.00,800.00,1.01,FIDELIN Daniel,Assemblée nationale,SEINE-MARITIME,UMP,http://2007.nosdeputes.fr/FIDELIN%20Daniel/xml
2011/108,2011,ALZING,MOSELLE,"le prolongement des trottoirs de la rue de Bouzonville, côté pair",33290.25,5000.00,15.02,MASSERET Jean-Pierre,Sénat,MOSELLE,SOCV,http://nossenateurs.fr/MASSERET%20Jean-Pierre/xml
2011/109,2011,AMAGE,HAUTE-SAONE,l'aménagement de la traversée du village (1ère tranche),82535.00,10000.00,12.12,PEYRONNET Jean-Claude,Sénat,HAUTE-VIENNE,SOC,http://nossenateurs.fr/PEYRONNET%20Jean-Claude/xml
2011/110,2011,AMANGE,JURA,"la restauration du tableau de l'église ""Reconversion de Saint-Paul""",12306.91,2461.00,20.00,BARBIER Gilbert,Sénat,JURA,RDSE,http://nossenateurs.fr/BARBIER%20Gilbert/xml
2011/111,2011,AMANVILLERS,MOSELLE,"la requalification de la RD 51, route de Lorry, et de la rue des Carrières",505621.20,4000.00,0.79,FILIPPETTI Aurélie,Assemblée nationale,MOSELLE,SRC,http://2007.nosdeputes.fr/FILIPPETTI%20Aurélie/xml
2011/112,2011,AMANVILLERS,MOSELLE,l'acquisition de mobilier d'ornement,10179.25,5000.00,49.12,TODESCHINI Jean-Marc,Sénat,MOSELLE,SOC,http://nossenateurs.fr/TODESCHINI%20Jean-Marc/xml
2011/113,2011,AMAYE-SUR-ORNE,CALVADOS,"l'aménagement de trottoirs, rue des Pommiers",37958.20,3800.00,10.01,COUSIN Jean-Yves,Assemblée nationale,CALVADOS,UMP,http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
2011/114,2011,AMAYE-SUR-ORNE,CALVADOS,la rénovation de terrains de tennis,6900.00,700.00,10.14,COUSIN Jean-Yves,Assemblée nationale,CALVADOS,UMP,http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
2011/115,2011,AMBARES-ET-LAGRAVE,GIRONDE,la restauration du pigeonnier du Guâ,30217.60,15108.00,50.00,LACUEY Conchita,Assemblée nationale,GIRONDE,SRC,http://2007.nosdeputes.fr/LACUEY%20Conchita/xml
2011/116,2011,AMBEL,ISERE,la construction d'une station de traitement des eaux usées,197472.00,15000.00,7.60,FAURE Jean,Sénat,ISERE,UMP,http://nossenateurs.fr/FAURE%20Jean/xml
2011/117,2011,AMBERIEUX-D'AZERGUES,RHONE,la construction d'un bâtiment communal regroupant des logements et des surfaces commerciales,812498.00,20000.00,2.46,PERRUT Bernard,Assemblée nationale,RHONE,UMP,http://2007.nosdeputes.fr/PERRUT%20Bernard/xml
