Identifiant,Date,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Part prise en charge (%),Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire,Lien vers données parlementaires
2011/8321,2011,SAINT-MASMES,MARNE,la restauration de la toiture de l'église et la réfection d'un plancher situé au niveau des cloches extérieures,1707.48,850.00,49.78,THOMAS Jean-Claude,Assemblée nationale,MARNE,UMP,http://2007.nosdeputes.fr/THOMAS%20Jean-Claude/xml
2011/8322,2011,SAINT-MASMES,MARNE,"la réhabilitation de la mairie, l'aménagement du trottoir et la réfection de l'entrée du local associatif",14052.43,4200.00,29.89,THOMAS Jean-Claude,Assemblée nationale,MARNE,UMP,http://2007.nosdeputes.fr/THOMAS%20Jean-Claude/xml
2011/8323,2011,SAINT-MATHURIN,VENDEE,la réhabilitation de la salle de réunion de la mairie,129700.00,15000.00,11.57,CAILLAUD Dominique,Assemblée nationale,VENDEE,UMP,http://2007.nosdeputes.fr/CAILLAUD%20Dominique/xml
2011/8324,2011,SAINT-MAUGAN,ILLE-ET-VILAINE,l'aménagement de trottoirs et la réfection de la voirie en centre-bourg,46474.40,15000.00,32.28,ROGEMONT Marcel,Assemblée nationale,ILLE-ET-VILAINE,SRC,http://2007.nosdeputes.fr/ROGEMONT%20Marcel/xml
2011/8325,2011,SAINT-MAULVIS,SOMME,"l'aménagement des trottoirs, place de la mairie",12427.00,5200.00,41.84,BIGNON Jérôme,Assemblée nationale,SOMME,UMP,http://2007.nosdeputes.fr/BIGNON%20Jérôme/xml
2011/8326,2011,SAINT-MAUR,JURA,l'aménagement des locaux de la mairie et la réfection du logement communal,92169.00,5000.00,5.42,PELISSARD Jacques,Assemblée nationale,JURA,UMP,http://2007.nosdeputes.fr/PELISSARD%20Jacques/xml
2011/8327,2011,SAINT-MAURICE,VAL-DE-MARNE,"la rénovation de l'éclairage public, place de l'Ecluse, rue de la Pompe, rue des Amandiers, rue Marthe Chenal, avenue des Canadiens et chemin de Halage",46714.00,6000.00,12.84,CAMBON Christian,Sénat,VAL-DE-MARNE,UMP,http://nossenateurs.fr/CAMBON%20Christian/xml
2011/8328,2011,SAINT-MAURICE-COLOMBIER,DOUBS,"la réfection de la voirie, rue de la Roche aux Chats",30085.85,4000.00,13.30,BONNOT Marcel,Assemblée nationale,DOUBS,UMP,http://2007.nosdeputes.fr/BONNOT%20Marcel/xml
2011/8329,2011,SAINT-MAURICE-CRILLAT,JURA,la restauration de lavoirs,10995.42,4000.00,36.38,BARBIER Gilbert,Sénat,JURA,RDSE,http://nossenateurs.fr/BARBIER%20Gilbert/xml
2011/8330,2011,SAINT-MAURICE-DE-CAZEVIEILLE,GARD,la mise aux normes électriques et la rénovation des menuiseries extérieures du Temple,10479.00,3000.00,28.63,FOURNIER Jean-Paul,Sénat,GARD,UMP,http://nossenateurs.fr/FOURNIER%20Jean-Paul/xml
2011/8331,2011,SAINT-MAURICE-DE-LIGNON,HAUTE-LOIRE,"l'aménagement d'un parking, rue Marcel Crépon",203500.00,8000.00,3.93,GOUTEYRON Adrien,Sénat,HAUTE-LOIRE,UMP,http://nossenateurs.fr/GOUTEYRON%20Adrien/xml
2011/8332,2011,SAINT-MAURICE-DE-REMENS,AIN,l'acquisition d'un défibrillateur cardiaque semi- automatique,1725.40,603.00,34.95,GOY-CHAVENT Sylvie,Sénat,AIN,UDI,http://nossenateurs.fr/GOY-CHAVENT%20Sylvie/xml
2011/8333,2011,SAINT-MAURICE-EN-QUERCY,LOT,l'aménagement du centre-bourg,172204.00,4000.00,2.32,LAUNAY Jean,Assemblée nationale,LOT,SRC,http://2007.nosdeputes.fr/LAUNAY%20Jean/xml
2011/8334,2011,SAINT-MAURICE-LES-CHARENCEY,ORNE,la réfection d'une des cloches de l'église,3125.00,1200.00,38.40,GOULET Nathalie,Sénat,ORNE,UDI,http://nossenateurs.fr/GOULET%20Nathalie/xml
2011/8335,2011,SAINT-MAURICE-SAINT-GERMAIN,EURE-ET-LOIR,la réfection des menuiseries de l'église,12764.84,5000.00,39.17,CORNU Gérard,Sénat,EURE-ET-LOIR,UMP,http://nossenateurs.fr/CORNU%20Gérard/xml
2011/8336,2011,SAINT-MAURICE-SOUS-LES-COTES,MEUSE,la restauration de la chapelle Sainte-Geneviève,71778.45,7100.00,9.89,PANCHER Bertrand,Assemblée nationale,MEUSE,UMP,http://2007.nosdeputes.fr/PANCHER%20Bertrand/xml
2011/8337,2011,SAINT-MAUR-SUR-LE-LOIR,EURE-ET-LOIR,l'aménagement paysager des entrées de la commune et de ses hameaux,36455.44,5000.00,13.72,BILLARD Joël,Sénat,EURE-ET-LOIR,UMP,http://nossenateurs.fr/BILLARD%20Joël/xml
2011/8338,2011,SAINT-MAXIMIN,VAR,l'aménagement d'une liaison douce entre le parking de la Basilique et le centre ville,150000.00,45000.00,30.00,PONS Josette,Assemblée nationale,VAR,UMP,http://2007.nosdeputes.fr/PONS%20Josette/xml
2011/8339,2011,SAINT-MAXIRE,DEUX-SEVRES,la réhabilitation d'un immeuble en local commercial et habitation associée,620795.94,10000.00,1.61,GAILLARD Geneviève,Assemblée nationale,DEUX-SEVRES,SRC,http://2007.nosdeputes.fr/GAILLARD%20Geneviève/xml
2011/8340,2011,SAINT-MAYEUX,COTES-D'ARMOR,l'acquisition d'un ancien commerce,155000.00,5000.00,3.23,HERVIAUX Odette,Sénat,MORBIHAN,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
2011/8341,2011,SAINT-MEARD-DE-DRONE,DORDOGNE,la restauration des peintures murales du choeur de l'église,118465.00,12000.00,10.13,JARRAUD-VERGNOLLE Annie,Sénat,PYRENEES-ATLANTIQUES,SOCV,http://nossenateurs.fr/JARRAUD-VERGNOLLE%20Annie/xml
2011/8342,2011,SAINT-MEDARD,MOSELLE,divers aménagements touristiques et la réfection de la voie communale n°1,129256.00,6963.00,5.39,MARTY Alain,Assemblée nationale,MOSELLE,UMP,http://2007.nosdeputes.fr/MARTY%20Alain/xml
2011/8343,2011,SAINT-MEDARD,MOSELLE,la rénovation de la salle du Conseil et du bureau de la mairie,9036.00,2096.00,23.20,TODESCHINI Jean-Marc,Sénat,MOSELLE,SOC,http://nossenateurs.fr/TODESCHINI%20Jean-Marc/xml
2011/8344,2011,SAINT-MEEN,FINISTERE,l'aménagement des routes départementales n°74 et n°32,145006.33,30000.00,20.69,Gouvernement,Réserve ministérielle,#N/A,,
2011/8345,2011,SAINT-MELAINE-SUR-AUBANCE,MAINE-ET-LOIRE,la construction d'un terrain multisports,81667.60,5700.00,6.98,GOUA Marc,Assemblée nationale,MAINE-ET-LOIRE,SRC,http://2007.nosdeputes.fr/GOUA%20Marc/xml
2011/8346,2011,SAINT-MENOUX,ALLIER,travaux de terrassement sur le terrain de moto-cross,1800.00,900.00,50.00,MALLOT Jean,Assemblée nationale,ALLIER,SRC,http://2007.nosdeputes.fr/MALLOT%20Jean/xml
2011/8347,2011,SAINT-MENOUX,ALLIER,"la réhabilitation du bâtiment situé 10, place de l'Eglise en café-restaurant",171600.00,5000.00,2.91,SCHURCH Mireille,Sénat,ALLIER,CRC,http://nossenateurs.fr/SCHURCH%20Mireille/xml
