Identifiant,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire
2011/6241,MOSNAY,INDRE,"l'aménagement des abords des lotissements ""La Violette"" et ""La Buxière"" (1ère tranche)",133589.6,10000.0,FORISSIER Nicolas,Assemblée nationale,INDRE,UMP
2011/6242,MOTHERN,BAS-RHIN,l'aménagement du cimetière et de la place de l'Eglise,231000.0,20000.0,REISS Frédéric,Assemblée nationale,BAS-RHIN,UMP
2011/6243,MOTTEREAU,EURE-ET-LOIR,la réfection de la place de l'Eglise,12829.88,3000.0,CORNU Gérard,Sénat,EURE-ET-LOIR,UMP
2011/6244,MOUFLERS,SOMME,l'aménagement des abords de la RD 1001,19839.0,6000.0,DUBOIS Daniel,Sénat,SOMME,UDI
2011/6245,MOUHERS,INDRE,l'acquisition et l'édification d'un colombarium,4527.0,2000.0,FORISSIER Nicolas,Assemblée nationale,INDRE,UMP
2011/6246,MOUILLERON-LE-CAPTIF,VENDEE,le remplacement des ouvrants et l'isolation extérieure du foyer rural,58373.0,15000.0,ADNOT Philippe,Sénat,AUBE,NI
2011/6247,MOUILLERON-LE-CAPTIF,VENDEE,l'extension de l'école maternelle,255098.0,20000.0,DARNICHE Philippe,Sénat,VENDEE,NI
2011/6248,MOULAINVILLE,MEUSE,l'installation de cinémomètres,8745.0,2000.0,DUMONT Jean-Louis,Assemblée nationale,MEUSE,SRC
2011/6249,MOULIETS-ET-VILLEMARTIN,GIRONDE,l'acquisition d'un terrain destiné à la construction d'une résidence pour personnes agées et d'une maison médicale,125760.0,10000.0,PINTAT Xavier,Sénat,GIRONDE,UMP
2011/6250,MOULINEAUX,SEINE-MARITIME,la démolition et la reconstruction de vestiaires sportifs,253132.0,40000.0,FABIUS Laurent,Assemblée nationale,SEINE-MARITIME,SRC
2011/6251,MOULINES,CALVADOS,l'effacement des réseaux du bourg,40265.01,5000.0,LETEURTRE Claude,Assemblée nationale,CALVADOS,NC
2011/6252,MOULINES,MANCHE,l'aménagement des abords et de l'étage de la mairie et l'installation de panneaux signalétiques,14768.75,6000.0,BIZET Jean,Sénat,MANCHE,UMP
