longitude, latitude, nom
7.18855, 43.72884, "[McDo] 06 Nice (Lingostière - C.Cial Carrefour) ( -K-W)"
7.26845, 43.70017, "[McDo] 06 Nice (Masséna) ( -K-W)"
7.26601, 43.69511, "[McDo] 06 Nice (Promenade) ( - -W)"
7.28942, 43.73137, "[McDo] 06 Nice (St André) (D- -W)"
7.28489, 43.70541, "[McDo] 06 Nice TNL ( -K-W)"
7.05698, 43.57684, "[McDo] 06 Vallauris (D- - )"
7.13419, 43.63297, "[McDo] 06 Villeneuve-Loubet (N7) (D-K-W)"
4.40470, 44.61630, "[McDo] 07 Aubenas (D- -W)"
4.68904, 45.25480, "[McDo] 07 Davézieux (D- -W)"
4.86470, 44.93933, "[McDo] 07 Granges-les-Valence (D- -W)"
4.61026, 44.71646, "[McDo] 07 Privas (D- -W)"
4.83676, 45.05327, "[McDo] 07 Tournon-sur-Rhône (D- -W)"
4.70618, 49.73996, "[McDo] 08 Charleville-Mézières (Croisette) ( - -W)"
4.37000, 49.52145, "[McDo] 08 Rethel (D- -W)"
4.92807, 49.69917, "[McDo] 08 Sedan (D- -W)"
4.75306, 49.73444, "[McDo] 08 Villers-Semeuse (D- -W)"
1.62429, 42.94893, "[McDo] 09 Foix (D- -W)"
1.62950, 43.10320, "[McDo] 09 Pamiers (D- -W)"
1.12662, 43.00592, "[McDo] 09 Saint Lizier (D- -W)"
4.10784, 48.32691, "[McDo] 10 Pont-Sainte-Marie (D- -W)"
4.04299, 48.27911, "[McDo] 10 Saint André-les-Vergers (D- -W)"
4.08699, 48.27330, "[McDo] 10 Saint Julien-les-Villas (Marques Avenue) (D- -W)"
4.13372, 48.29670, "[McDo] 10 Saint Parres-aux-Tertres (D- -W)"
4.07362, 48.30006, "[McDo] 10 Troyes (Gambetta) (D-K-W)"
2.35193, 43.21630, "[McDo] 11 Carcassonne (Centre - Gare) ( - -W)"
2.38508, 43.20749, "[McDo] 11 Carcassonne (Europe) (D- -W)"
2.31136, 43.20615, "[McDo] 11 Carcassonne (Salvaza - C.Cial Casino) (D- -W)"
1.95550, 43.30024, "[McDo] 11 Castelnaudary (D- -W)"
2.21978, 43.07426, "[McDo] 11 Limoux (D- -W)"
3.02856, 43.18151, "[McDo] 11 Narbonne (Bonne Source) (D-K-W)"
2.99243, 43.17510, "[McDo] 11 Narbonne (Espace Liberté) (D- -W)"
2.96592, 43.03053, "[McDo] 11 Sigean (D- -W)"
3.08226, 44.09108, "[McDo] 12 Millau (D- -W)"
2.59191, 44.37247, "[McDo] 12 Onet-le-Château (D- -W)"
2.57056, 44.36063, "[McDo] 12 Rodez (D- -W)"
2.01198, 44.36025, "[McDo] 12 Villefranche-de-Rouergue (D- -W)"
5.43381, 43.51808, "[McDo] 13 Aix-en-Provence (D- -W)"
4.63620, 43.66663, "[McDo] 13 Arles (Fourchon) (D- -W)"
5.56370, 43.29330, "[McDo] 13 Aubagne (Centre) (D- -W)"
5.36586, 43.41965, "[McDo] 13 Cabriès (Marseille Plan de Campagne - C.Cial Barnéoud) (D- -W)"
5.13133, 43.39413, "[McDo] 13 Châteauneuf-les-Martigues (D- -W)"
4.85242, 43.88792, "[McDo] 13 Châteaurenard (D- - )"
5.60882, 43.46423, "[McDo] 13 Fuveau (D- -W)"
5.46510, 43.46540, "[McDo] 13 Gardanne (C.Cial Champion) (D- -W)"
4.98034, 43.49793, "[McDo] 13 Istres (Les Cognets - C.Cial Géant) (D- -W)"
4.96430, 43.51950, "[McDo] 13 Istres (Les Craux - C.Cial Leclerc) (D- -W)"
5.60361, 43.18887, "[McDo] 13 La Ciotat (D- -W)"
5.59988, 43.38774, "[McDo] 13 La Destrousse (D- -W)"
5.39750, 43.50639, "[McDo] 13 La Pioline (Aix Les Milles) ( - -W)"
5.37832, 43.48712, "[McDo] 13 Les Milles (Aix Ampère) (D- -W)"
5.36024, 43.41324, "[McDo] 13 Les Pennes-Mirabeau (D- -W)"
5.38091, 43.29764, "[McDo] 13 Marseille 01 (Canebière) ( - -W)"
5.37262, 43.29361, "[McDo] 13 Marseille 01 (Quai Rive Neuve) ( -K-W)"
5.37853, 43.29312, "[McDo] 13 Marseille 01 (St Ferreol) ( - -W)"
5.37498, 43.30129, "[McDo] 13 Marseille 01 (Ste Barbe - Porte d'Aix) ( - -W)"
5.37469, 43.29415, "[McDo] 13 Marseille 01 (Vieux Port) ( - -W)"
5.36765, 43.30433, "[McDo] 13 Marseille 02 (République Joliette) ( -K-W)"
5.40111, 43.30306, "[McDo] 13 Marseille 04 (Blancarde) (D- -W)"
5.40000, 43.29556, "[McDo] 13 Marseille 05 (Chave) (D- -W)"
5.38333, 43.28694, "[McDo] 13 Marseille 06 (Rue de Rome) ( - -W)"
5.38962, 43.24942, "[McDo] 13 Marseille 08 (Bonneveine - C.Cial Carrefour) ( -K- )"
5.40095, 43.27230, "[McDo] 13 Marseille 09 (Ste Marguerite) (D- -W)"
5.48245, 43.29415, "[McDo] 13 Marseille 11 (La Valentine) (D- -W)"
